County,State,Population,White Population,Black Population,Hispanic Population,Asian Population,Native Hawaiian or Pacific Islander,Median Age,Employed,Unemployed,Household Income,Per Capita Income,Avg Rent,Avg Rent plus Utilities,Median Home Value,Avg Monthly Cost of Home,High School,College,Advanced Degree,Poverty Count,Poverty Rate,Family Poverty,Male Family Poverty,Female Family Poverty,White Poverty,Black Poverty,Hispanic Poverty,Asian Poverty,Native Hawaiian or Pacific Islander Poverty
Crenshaw County, Alabama,13938.0,9966.0,3277.0,237.0,253.0,0.0,41.3,6255.0,4856.0,36022.0,20585.0,312.0,520.0,70600.0,930.0,3851,1660,409,2288.0,16.415554598938154,497.0,15.0,285.0,1359.0,882.0,10.0,0.0,0.0
Cullman County, Alabama,80965.0,77478.0,964.0,3493.0,451.0,21.0,40.5,34847.0,30068.0,38971.0,20881.0,423.0,625.0,115200.0,998.0,20035,11039,3031,14814.0,18.29679491138146,2837.0,180.0,1154.0,13604.0,304.0,1761.0,52.0,8.0
Dale County, Alabama,49866.0,37232.0,9798.0,2980.0,588.0,10.0,36.8,23293.0,16004.0,45028.0,22566.0,449.0,629.0,101700.0,955.0,11134,7167,1838,9306.0,18.662014198050777,1750.0,146.0,1006.0,5219.0,3298.0,917.0,60.0,10.0
Dallas County, Alabama,42154.0,12085.0,29164.0,130.0,144.0,20.0,38.7,16883.0,15531.0,27306.0,17808.0,342.0,564.0,81500.0,970.0,10103,4460,1608,14580.0,34.587465009251794,2851.0,288.0,2041.0,1725.0,12492.0,27.0,0.0,20.0
DeKalb County, Alabama,71068.0,61415.0,1295.0,9957.0,219.0,730.0,39.3,30102.0,25367.0,38192.0,18411.0,371.0,540.0,98500.0,946.0,18069,7184,2311,13133.0,18.4794844374402,2471.0,252.0,964.0,9728.0,339.0,3667.0,26.0,37.0
Elmore County, Alabama,80763.0,60989.0,17137.0,2229.0,417.0,0.0,37.9,37115.0,27383.0,53555.0,24381.0,550.0,785.0,147500.0,1164.0,19685,12207,4350,10334.0,12.795463269071233,2156.0,159.0,1207.0,6373.0,3709.0,749.0,0.0,0.0
Escambia County, Alabama,37935.0,23303.0,12678.0,466.0,49.0,0.0,40.3,14572.0,15955.0,32330.0,17045.0,376.0,560.0,93800.0,962.0,11251,3888,1083,8609.0,22.69408198233821,1862.0,234.0,1075.0,4053.0,4113.0,108.0,19.0,0.0
Etowah County, Alabama,103766.0,84312.0,16025.0,3740.0,679.0,107.0,40.8,45419.0,37971.0,39220.0,20500.0,427.0,621.0,100400.0,1060.0,24199,13323,4275,20078.0,19.349305167395872,4244.0,377.0,2225.0,13847.0,5261.0,1269.0,53.0,0.0
Fayette County, Alabama,16896.0,14454.0,2093.0,126.0,66.0,0.0,43.2,6812.0,6854.0,34680.0,19545.0,299.0,469.0,75200.0,924.0,4871,1764,679,3055.0,18.081202651515152,691.0,42.0,386.0,2004.0,892.0,25.0,21.0,0.0
Franklin County, Alabama,31634.0,27924.0,1554.0,4958.0,29.0,38.0,38.8,13575.0,11229.0,35372.0,18595.0,342.0,534.0,85600.0,888.0,8507,2971,843,7020.0,22.191313144085477,1422.0,272.0,817.0,6254.0,290.0,1750.0,0.0,0.0
Geneva County, Alabama,26815.0,23195.0,2387.0,973.0,329.0,0.0,42.2,11836.0,9722.0,36024.0,20224.0,369.0,559.0,77400.0,907.0,7219,3142,570,6149.0,22.9311952265523,1354.0,121.0,769.0,4815.0,923.0,394.0,26.0,0.0
Greene County, Alabama,8697.0,1547.0,7015.0,61.0,14.0,0.0,42.4,3030.0,3828.0,20541.0,13611.0,178.0,343.0,69600.0,820.0,2356,817,188,3479.0,40.00229964355525,669.0,29.0,386.0,320.0,3159.0,4.0,0.0,0.0
Hale County, Alabama,15256.0,6097.0,8886.0,170.0,42.0,9.0,40.2,6094.0,6010.0,32714.0,18877.0,270.0,460.0,87400.0,980.0,4556,1624,407,4011.0,26.291295228106975,882.0,84.0,639.0,803.0,3165.0,2.0,37.0,0.0
Henry County, Alabama,17252.0,12140.0,4891.0,429.0,0.0,0.0,43.0,7536.0,6399.0,41997.0,22931.0,381.0,595.0,96300.0,1020.0,4550,2076,867,2657.0,15.401112914444703,495.0,9.0,321.0,1365.0,1236.0,55.0,0.0,0.0
Houston County, Alabama,103534.0,72170.0,27359.0,3338.0,792.0,35.0,39.0,48218.0,33407.0,41571.0,23925.0,504.0,691.0,123300.0,1039.0,24312,15336,5126,18746.0,18.106129387447602,3813.0,356.0,2635.0,8462.0,9272.0,1175.0,56.0,35.0
Jackson County, Alabama,52860.0,48087.0,1635.0,1450.0,210.0,64.0,42.2,23234.0,19504.0,37745.0,20066.0,372.0,564.0,98900.0,973.0,15448,5864,1752,9415.0,17.811199394627316,2177.0,297.0,872.0,7776.0,657.0,756.0,64.0,0.0
Jefferson County, Alabama,659026.0,347760.0,279086.0,24991.0,10348.0,185.0,37.4,323045.0,200165.0,45610.0,27240.0,605.0,810.0,143400.0,1272.0,121310,117222,54051,121029.0,18.36482930870709,25032.0,1839.0,17058.0,34978.0,77826.0,8917.0,794.0,25.0
Lamar County, Alabama,14133.0,12350.0,1565.0,196.0,3.0,0.0,43.7,6023.0,5439.0,35450.0,20130.0,274.0,426.0,67900.0,861.0,3911,1353,466,3382.0,23.929809665322296,834.0,15.0,438.0,2753.0,584.0,145.0,0.0,0.0
Lauderdale County, Alabama,92737.0,80613.0,9239.0,2229.0,672.0,9.0,41.1,42806.0,33091.0,43125.0,24215.0,419.0,593.0,118600.0,1021.0,22102,11752,5661,16232.0,17.50326191272092,3273.0,296.0,1860.0,12769.0,2676.0,769.0,77.0,9.0
Lawrence County, Alabama,33586.0,25978.0,3848.0,697.0,37.0,0.0,41.7,14091.0,12963.0,40003.0,21369.0,366.0,562.0,94800.0,1012.0,9803,3433,787,6225.0,18.534508426129936,1446.0,91.0,779.0,4692.0,865.0,349.0,4.0,0.0
Lee County, Alabama,150982.0,105518.0,35095.0,5615.0,4947.0,26.0,30.3,74910.0,46983.0,44570.0,24356.0,616.0,792.0,154300.0,1212.0,23277,23706,12815,34561.0,22.89080817580904,5141.0,633.0,3065.0,20940.0,11267.0,1673.0,899.0,0.0
Limestone County, Alabama,88805.0,71980.0,11426.0,5137.0,1106.0,38.0,39.0,40933.0,29616.0,49570.0,25569.0,436.0,616.0,142100.0,1137.0,20341,13437,4875,12075.0,13.5972073644502,2641.0,308.0,1088.0,9086.0,1455.0,2091.0,184.0,18.0
Lowndes County, Alabama,10742.0,2739.0,7955.0,36.0,0.0,0.0,39.5,4043.0,4444.0,25876.0,18429.0,299.0,568.0,67800.0,960.0,2601,1214,284,3035.0,28.253584062558183,705.0,69.0,565.0,91.0,2921.0,0.0,0.0,0.0
Macon County, Alabama,20018.0,3370.0,16271.0,313.0,43.0,0.0,37.5,9132.0,7614.0,30738.0,17374.0,372.0,592.0,74700.0,964.0,4045,2121,1042,4636.0,23.159156758916975,1032.0,72.0,779.0,509.0,4051.0,47.0,22.0,0.0
Madison County, Alabama,346438.0,238799.0,83437.0,16214.0,8622.0,367.0,37.8,180077.0,97266.0,57993.0,32131.0,605.0,765.0,167900.0,1219.0,51588,77093,34146,46436.0,13.403841379987185,8986.0,895.0,5155.0,21974.0,19930.0,4617.0,1112.0,102.0
Marengo County, Alabama,20306.0,9482.0,10443.0,459.0,29.0,0.0,42.2,7760.0,8402.0,32042.0,21471.0,325.0,530.0,90800.0,1031.0,5978,2251,772,5244.0,25.824879346006107,992.0,112.0,694.0,1036.0,4053.0,193.0,2.0,0.0
Marion County, Alabama,30387.0,28448.0,1170.0,726.0,86.0,0.0,44.1,12853.0,11870.0,32299.0,20042.0,291.0,485.0,81400.0,854.0,7673,3516,906,5960.0,19.613650574258727,1443.0,139.0,751.0,5469.0,411.0,70.0,0.0,0.0
Marshall County, Alabama,94318.0,86785.0,1811.0,11944.0,458.0,41.0,38.8,41661.0,31852.0,38983.0,21363.0,428.0,594.0,115500.0,1035.0,21956,11770,3711,18794.0,19.926207086664263,3763.0,380.0,1774.0,15785.0,593.0,5645.0,3.0,7.0
Mobile County, Alabama,414251.0,248566.0,145175.0,10917.0,8148.0,64.0,37.0,190415.0,134737.0,43809.0,22953.0,598.0,788.0,122400.0,1163.0,93755,60689,20055,77917.0,18.809127799329392,16259.0,1138.0,10956.0,29286.0,44224.0,1921.0,1476.0,16.0
Monroe County, Alabama,22217.0,12315.0,9382.0,242.0,74.0,0.0,41.1,8261.0,9311.0,27257.0,15863.0,356.0,537.0,81200.0,894.0,7010,2386,626,6901.0,31.061799522887878,1300.0,103.0,657.0,2353.0,4530.0,140.0,2.0,0.0
Montgomery County, Alabama,228138.0,88800.0,127961.0,7791.0,5164.0,33.0,35.2,110685.0,68376.0,44369.0,25138.0,611.0,814.0,122300.0,1122.0,40642,37956,17506,49918.0,21.880616118314354,10303.0,1172.0,7419.0,9630.0,38141.0,3072.0,629.0,9.0
Morgan County, Alabama,119786.0,99051.0,14717.0,9358.0,720.0,99.0,39.5,57195.0,37991.0,45751.0,24449.0,448.0,599.0,123500.0,1046.0,26481,17895,5689,18936.0,15.808191274439418,4149.0,403.0,2543.0,13132.0,4570.0,3483.0,90.0,6.0
Perry County, Alabama,10038.0,3075.0,6829.0,93.0,44.0,0.0,36.3,3227.0,4826.0,24537.0,14804.0,304.0,512.0,66300.0,1001.0,2483,809,370,3373.0,33.60231121737398,687.0,97.0,468.0,467.0,2906.0,0.0,0.0,0.0
Pickens County, Alabama,19856.0,11155.0,8412.0,325.0,13.0,9.0,42.4,7784.0,8329.0,30330.0,17957.0,274.0,448.0,82000.0,974.0,6224,1801,441,4801.0,24.179089443996777,977.0,129.0,606.0,1424.0,3312.0,9.0,0.0,9.0
Pike County, Alabama,33155.0,19188.0,12665.0,289.0,708.0,0.0,31.3,16121.0,11334.0,32825.0,19415.0,442.0,593.0,105500.0,981.0,6833,3845,1777,8158.0,24.605640174935907,1250.0,162.0,829.0,3421.0,4409.0,58.0,246.0,0.0
Randolph County, Alabama,22648.0,17486.0,4520.0,668.0,38.0,50.0,42.8,9621.0,8503.0,36924.0,19363.0,347.0,603.0,85800.0,878.0,5998,2611,872,4511.0,19.917873542917697,961.0,52.0,473.0,3015.0,1213.0,369.0,0.0,0.0
Russell County, Alabama,58302.0,31032.0,24411.0,2824.0,440.0,117.0,34.8,27188.0,17985.0,37049.0,19882.0,545.0,732.0,111000.0,1073.0,12540,7618,2453,12054.0,20.675105485232066,2436.0,174.0,1679.0,4993.0,6423.0,608.0,0.0,0.0
St. Clair County, Alabama,85864.0,75040.0,8134.0,1913.0,719.0,4.0,39.8,40403.0,27787.0,51859.0,24168.0,525.0,699.0,140000.0,1156.0,21663,10926,3336,13417.0,15.6258734743315,2826.0,325.0,1067.0,11227.0,1765.0,586.0,105.0,4.0
Shelby County, Alabama,203530.0,165486.0,23940.0,11902.0,4147.0,52.0,37.9,107374.0,51689.0,70187.0,33494.0,767.0,944.0,192800.0,1435.0,30242,46957,18940,16693.0,8.201739301331498,3027.0,232.0,1181.0,11155.0,2621.0,3856.0,294.0,0.0
Sumter County, Alabama,13341.0,3335.0,9665.0,53.0,226.0,0.0,36.7,5317.0,5641.0,19501.0,12887.0,325.0,555.0,72900.0,908.0,3352,1227,529,5372.0,40.266846563226146,877.0,52.0,628.0,627.0,4724.0,8.0,0.0,0.0
Talladega County, Alabama,81437.0,52661.0,26023.0,1768.0,368.0,30.0,40.9,35514.0,29750.0,35155.0,19598.0,371.0,584.0,93400.0,986.0,21170,9150,2793,17950.0,22.041578152436852,4197.0,552.0,2593.0,8373.0,8635.0,462.0,20.0,9.0
Tallapoosa County, Alabama,41153.0,28928.0,11404.0,1017.0,15.0,0.0,42.8,17408.0,15746.0,39206.0,21177.0,380.0,575.0,103400.0,988.0,10259,5591,1735,9117.0,22.153913444949335,2062.0,249.0,1075.0,4549.0,4135.0,700.0,0.0,0.0
Tuscaloosa County, Alabama,200458.0,132600.0,61307.0,6446.0,2953.0,67.0,31.9,94945.0,67833.0,46565.0,23124.0,602.0,785.0,156500.0,1210.0,38173,29195,13214,36274.0,18.095561164932306,6167.0,616.0,3953.0,17190.0,17519.0,1840.0,605.0,56.0
Walker County, Alabama,65923.0,60067.0,3801.0,1493.0,246.0,0.0,42.4,27142.0,25803.0,35843.0,20166.0,400.0,584.0,82800.0,959.0,17304,6800,1959,14598.0,22.144016504103273,3062.0,323.0,1666.0,12553.0,1254.0,632.0,96.0,0.0
Washington County, Alabama,16997.0,11156.0,4224.0,214.0,63.0,0.0,40.9,7069.0,6469.0,42811.0,19743.0,328.0,569.0,85700.0,961.0,5364,1625,366,3200.0,18.82685179737601,679.0,79.0,307.0,2155.0,884.0,78.0,0.0,0.0
Wilcox County, Alabama,11235.0,3073.0,8092.0,66.0,0.0,0.0,40.2,3612.0,5239.0,23750.0,14170.0,256.0,424.0,77300.0,944.0,3273,1032,328,4126.0,36.72452158433467,739.0,61.0,517.0,331.0,3734.0,61.0,0.0,0.0
Winston County, Alabama,24130.0,23207.0,122.0,667.0,43.0,16.0,43.9,9843.0,9802.0,33194.0,18808.0,348.0,515.0,81500.0,919.0,6185,2580,786,5157.0,21.37173642768338,1011.0,55.0,437.0,4706.0,0.0,157.0,9.0,16.0
Aleutians East Borough, Alaska,3304.0,712.0,304.0,398.0,1009.0,37.0,42.4,2598.0,342.0,61518.0,28608.0,743.0,930.0,126100.0,1133.0,1003,461,48,553.0,16.73728813559322,54.0,3.0,34.0,88.0,95.0,78.0,153.0,4.0
Aleutians West Census Area, Alaska,5684.0,1794.0,269.0,623.0,2112.0,141.0,36.8,3936.0,794.0,84306.0,31754.0,1053.0,1270.0,217500.0,2107.0,1464,606,173,499.0,8.77902885292048,40.0,8.0,23.0,94.0,78.0,41.0,162.0,19.0
Anchorage Municipality, Alaska,299107.0,194254.0,17511.0,25690.0,26323.0,6436.0,32.5,171644.0,60151.0,78326.0,36920.0,1110.0,1197.0,290500.0,1971.0,47527,55404,23198,23914.0,7.995132176779547,3897.0,545.0,2154.0,9448.0,2905.0,2549.0,3819.0,1048.0
Bethel Census Area, Alaska,17776.0,2136.0,142.0,325.0,209.0,71.0,26.7,7571.0,4473.0,51012.0,17746.0,964.0,1169.0,165700.0,1638.0,4192,1019,386,4364.0,24.54995499549955,759.0,189.0,283.0,111.0,0.0,46.0,14.0,2.0
Bristol Bay Borough, Alaska,970.0,547.0,5.0,69.0,7.0,2.0,39.7,582.0,184.0,79750.0,38267.0,831.0,1063.0,187500.0,1793.0,200,129,42,69.0,7.11340206185567,9.0,4.0,3.0,12.0,0.0,4.0,1.0,0.0
Denali Borough, Alaska,2060.0,1799.0,13.0,54.0,59.0,0.0,35.9,1300.0,378.0,81544.0,35315.0,733.0,1044.0,190200.0,1469.0,331,465,124,254.0,12.330097087378642,11.0,7.0,2.0,224.0,0.0,16.0,6.0,0.0
Dillingham Census Area, Alaska,4979.0,932.0,17.0,144.0,72.0,1.0,29.7,2118.0,1451.0,54173.0,22257.0,804.0,950.0,195100.0,1542.0,1110,492,151,894.0,17.955412733480618,140.0,23.0,69.0,30.0,0.0,30.0,0.0,0.0
Fairbanks North Star Borough, Alaska,99705.0,76423.0,4340.0,7356.0,2621.0,633.0,30.4,56732.0,20748.0,71068.0,33244.0,1106.0,1216.0,218100.0,1865.0,14503,17469,7323,7752.0,7.774936061381074,1217.0,192.0,784.0,4608.0,383.0,508.0,189.0,7.0
Haines Borough, Alaska,2560.0,2062.0,1.0,39.0,77.0,0.0,45.5,1516.0,684.0,58750.0,33902.0,743.0,868.0,211400.0,1367.0,538,599,225,135.0,5.2734375,9.0,3.0,3.0,96.0,0.0,3.0,0.0,0.0
Hoonah-Angoon Census Area, Alaska,2128.0,1069.0,47.0,47.0,56.0,1.0,47.8,1253.0,532.0,52419.0,30943.0,504.0,725.0,233400.0,1477.0,506,373,142,252.0,11.842105263157896,46.0,9.0,29.0,73.0,0.0,19.0,0.0,0.0
Juneau City and Borough, Alaska,32531.0,22445.0,413.0,1985.0,2216.0,354.0,37.0,18956.0,7131.0,85746.0,39979.0,1099.0,1188.0,323500.0,2096.0,4802,7070,3124,2110.0,6.486120930804463,323.0,76.0,184.0,937.0,50.0,209.0,46.0,75.0
Kenai Peninsula Borough, Alaska,57221.0,48115.0,363.0,2124.0,732.0,40.0,40.5,28427.0,17115.0,63684.0,31537.0,793.0,940.0,219100.0,1462.0,13136,8827,3225,5558.0,9.713217175512487,875.0,127.0,366.0,4196.0,9.0,358.0,62.0,2.0
Ketchikan Gateway Borough, Alaska,13699.0,9280.0,58.0,663.0,1001.0,7.0,38.7,7443.0,3437.0,64222.0,32021.0,888.0,1033.0,252500.0,1734.0,3083,2134,752,1640.0,11.971676764727352,225.0,54.0,134.0,776.0,6.0,148.0,82.0,0.0
Kodiak Island Borough, Alaska,13973.0,7549.0,66.0,1186.0,2973.0,156.0,32.4,8145.0,2404.0,70887.0,30657.0,930.0,981.0,245400.0,1949.0,2385,2391,556,1552.0,11.107135189293638,270.0,68.0,149.0,744.0,36.0,82.0,142.0,63.0
Kusilvak Census Area, Alaska,7914.0,372.0,28.0,81.0,35.0,4.0,23.0,2904.0,2146.0,38229.0,11569.0,277.0,514.0,108000.0,625.0,1848,227,52,2622.0,33.131159969673995,431.0,95.0,176.0,60.0,1.0,6.0,0.0,0.0
Lake and Peninsula Borough, Alaska,1474.0,325.0,8.0,32.0,47.0,10.0,31.1,728.0,352.0,50781.0,23041.0,588.0,707.0,145000.0,907.0,379,105,40,247.0,16.757123473541384,38.0,8.0,22.0,10.0,0.0,4.0,0.0,0.0
Matanuska-Susitna Borough, Alaska,96178.0,80815.0,959.0,4292.0,1386.0,247.0,34.6,45730.0,26652.0,72983.0,29913.0,928.0,1073.0,224900.0,1670.0,19392,13935,4296,9454.0,9.829690781675643,1537.0,238.0,744.0,7403.0,209.0,305.0,53.0,19.0
Nome Census Area, Alaska,9854.0,1720.0,72.0,193.0,119.0,19.0,27.8,4419.0,2421.0,48868.0,19804.0,988.0,1188.0,123500.0,1536.0,2228,777,206,2592.0,26.30403896894662,482.0,176.0,167.0,101.0,5.0,6.0,3.0,3.0
North Slope Borough, Alaska,9667.0,3187.0,64.0,350.0,515.0,537.0,33.9,6131.0,1360.0,72576.0,51085.0,868.0,1087.0,141100.0,1196.0,2324,1116,223,976.0,10.096203579186925,144.0,34.0,90.0,127.0,5.0,1.0,34.0,1.0
Northwest Arctic Borough, Alaska,7732.0,949.0,25.0,142.0,59.0,2.0,26.1,3320.0,1927.0,63648.0,21101.0,875.0,1141.0,124500.0,1371.0,1775,424,151,1824.0,23.590274185204347,310.0,97.0,125.0,58.0,6.0,24.0,0.0,0.0
Petersburg Borough, Alaska,3221.0,2325.0,97.0,304.0,74.0,14.0,40.4,1834.0,731.0,67935.0,34884.0,758.0,938.0,218800.0,1468.0,678,613,136,327.0,10.152126668736416,49.0,2.0,37.0,229.0,14.0,42.0,3.0,0.0
Prince of Wales-Hyder Census Area, Alaska,6376.0,2978.0,12.0,205.0,49.0,16.0,39.7,3280.0,1713.0,48523.0,25205.0,617.0,811.0,162600.0,1260.0,1759,655,227,921.0,14.444792973651191,132.0,33.0,68.0,391.0,0.0,17.0,6.0,0.0
Sitka City and Borough, Alaska,8943.0,5800.0,97.0,540.0,526.0,30.0,38.9,5027.0,2129.0,70376.0,33890.0,877.0,1057.0,338600.0,1925.0,1393,1737,769,798.0,8.923180140892319,72.0,22.0,35.0,355.0,11.0,33.0,18.0,0.0
Skagway Municipality, Alaska,999.0,782.0,0.0,45.0,106.0,0.0,43.7,733.0,129.0,69318.0,38696.0,925.0,1020.0,324600.0,1875.0,230,247,72,44.0,4.404404404404405,6.0,2.0,0.0,35.0,0.0,0.0,5.0,0.0
Southeast Fairbanks Census Area, Alaska,7029.0,5604.0,80.0,336.0,101.0,33.0,35.8,3519.0,1773.0,62670.0,30079.0,966.0,1176.0,197300.0,1337.0,1485,1021,259,1011.0,14.383269312846778,160.0,14.0,71.0,680.0,0.0,69.0,0.0,0.0
Valdez-Cordova Census Area, Alaska,9617.0,7044.0,0.0,425.0,308.0,42.0,36.6,5095.0,2349.0,78810.0,33293.0,861.0,974.0,200700.0,1720.0,1730,1748,571,1029.0,10.699802433191223,159.0,21.0,52.0,462.0,0.0,17.0,9.0,29.0
Wrangell City and Borough, Alaska,2387.0,1665.0,5.0,34.0,60.0,0.0,50.4,1176.0,857.0,48603.0,30089.0,597.0,732.0,171400.0,1403.0,665,372,99,279.0,11.688311688311689,57.0,15.0,29.0,120.0,4.0,3.0,0.0,0.0
Yakutat City and Borough, Alaska,643.0,255.0,9.0,17.0,43.0,8.0,42.5,407.0,102.0,72500.0,33159.0,660.0,945.0,166000.0,1348.0,196,76,15,35.0,5.443234836702955,8.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0
Yukon-Koyukuk Census Area, Alaska,5644.0,1312.0,17.0,109.0,26.0,0.0,35.0,2553.0,1670.0,38491.0,20698.0,402.0,638.0,88800.0,1064.0,1439,428,135,1252.0,22.18284904323175,228.0,60.0,108.0,194.0,0.0,67.0,0.0,0.0
Apache County, Arizona,72124.0,16762.0,442.0,4547.0,308.0,75.0,33.4,22407.0,30722.0,31757.0,13011.0,345.0,523.0,83300.0,890.0,16297,6206,1694,25852.0,35.84382452443015,3912.0,697.0,1790.0,3138.0,112.0,1246.0,73.0,39.0
Cochise County, Arizona,129647.0,103744.0,5023.0,43960.0,2177.0,204.0,40.0,52388.0,51065.0,45075.0,23506.0,642.0,802.0,143900.0,1166.0,21563,22534,7398,21102.0,16.27650466266092,4366.0,324.0,2079.0,15706.0,565.0,10031.0,159.0,39.0
Coconino County, Arizona,136701.0,85870.0,2137.0,18916.0,2267.0,173.0,30.8,71197.0,38850.0,50234.0,24308.0,884.0,1003.0,219300.0,1502.0,18054,23153,11220,28824.0,21.085434634713717,4622.0,627.0,2110.0,13409.0,357.0,5197.0,782.0,43.0
Gila County, Arizona,53165.0,42077.0,384.0,9869.0,319.0,12.0,48.6,20607.0,22820.0,39751.0,20583.0,591.0,742.0,134200.0,1080.0,11804,7145,2680,11839.0,22.268409668014673,2103.0,276.0,925.0,7168.0,160.0,2511.0,12.0,0.0
Graham County, Arizona,37407.0,28820.0,782.0,11882.0,241.0,64.0,32.0,13919.0,14285.0,45964.0,17481.0,568.0,729.0,123300.0,1099.0,7761,3888,1164,7446.0,19.905365305958778,1284.0,137.0,498.0,4637.0,42.0,2297.0,0.0,0.0
Greenlee County, Arizona,9023.0,8063.0,139.0,4242.0,40.0,0.0,33.0,3718.0,3016.0,51628.0,21994.0,254.0,415.0,82700.0,806.0,2155,1032,146,1215.0,13.465587941926188,238.0,30.0,121.0,1107.0,0.0,552.0,9.0,0.0
